Date;AAPL;KO;META;MS;MSFT
2013-01-25;13.489814758300781;26.841360092163086;31.540000915527344;18.140352249145508;22.931638717651367
2013-01-28;13.794946670532227;26.812381744384766;32.470001220703125;17.828689575195312;22.956314086914062
2013-01-29;14.053775787353516;27.109413146972656;30.790000915527344;18.052444458007812;23.038557052612305
2013-01-30;14.009618759155273;27.167375564575195;31.239999771118164;18.364107131958008;22.906965255737305
2013-01-31;13.968524932861328;26.97901725769043;30.979999542236328;18.260217666625977;22.577957153320312
2013-02-01;13.911174774169922;27.196348190307617;29.729999542236328;18.828853607177734;22.972761154174805
2013-02-04;13.564640045166016;27.058700561523438;28.110000610351562;18.324283599853516;22.56972885131836
2013-02-05;14.040595054626465;27.631032943725586;28.639999389648438;18.74075698852539;22.61908721923828
2013-02-06;14.025564193725586;27.754188537597656;29.049999237060547;18.732744216918945;22.48747444152832
2013-02-07;14.442596435546875;28.188859939575195;28.649999618530273;18.500484466552734;22.438129425048828
2013-02-08;14.651118278503418;28.087432861328125;28.549999237060547;18.676681518554688;22.66020393371582
2013-02-11;14.803804397583008;27.971519470214844;28.260000228881836;18.644649505615234;22.915185928344727
2013-02-12;14.43272876739502;27.210844039916992;27.3700008392334;18.924955368041992;22.931638717651367
2013-02-13;14.405274391174316;26.957277297973633;27.90999984741211;18.924955368041992;23.05501365661621
2013-02-14;14.392318725585938;26.68922996520996;28.5;19.08513069152832;23.0632381439209
2013-02-15;14.193984985351562;27.109413146972656;28.31999969482422;19.117172241210938;23.038557052612305
2013-02-19;14.188737869262695;27.290531158447266;28.93000030517578;19.477569580078125;23.262475967407227
2013-02-20;13.84511947631836;27.33399200439453;28.459999084472656;18.75676918029785;23.113201141357422
2013-02-21;13.759055137634277;27.31950569152832;27.280000686645508;18.284244537353516;22.798063278198242
2013-02-22;13.905574798583984;27.906320571899414;27.1299991607666;18.884910583496094;23.0219783782959
2013-02-25;13.658501625061035;27.32676124572754;27.270000457763672;17.64354133605957;22.69853973388672
2013-02-26;13.84881591796875;27.609294891357422;27.389999389648438;17.971899032592773;22.69853973388672
2013-02-27;13.71309757232666;27.85561180114746;26.8700008392334;18.340307235717773;23.063440322875977
2013-02-28;13.615312576293945;28.051219940185547;27.25;18.059999465942383;23.055150985717773
2013-03-01;13.27817153930664;28.036727905273438;27.780000686645508;17.963891983032227;23.179550170898438
2013-03-04;12.95676040649414;28.123668670654297;27.719999313354492;18.100038528442383;23.34541130065918
2013-03-05;13.29883861541748;28.02223014831543;27.520000457763672;18.212160110473633;23.51127815246582
2013-03-06;13.129807472229004;28.268545150756836;27.450000762939453;18.348318099975586;23.295654296875
2013-03-07;13.281562805175781;28.34100341796875;28.579999923706055;18.596590042114258;23.337120056152344
2013-03-08;13.316727638244629;28.413448333740234;27.959999084472656;18.444427490234375;23.22101402282715
2013-03-11;13.506433486938477;28.47865104675293;28.139999389648438;18.500484466552734;23.113201141357422
2013-03-12;13.21524715423584;28.2250919342041;27.829999923706055;18.156105041503906;23.146377563476562
2013-03-13;13.212778091430664;28.159421920776367;27.079999923706055;18.244205474853516;23.15467071533203
2013-03-14;13.340789794921875;28.473188400268555;27.040000915527344;18.260217666625977;23.337120056152344
2013-03-15;13.685027122497559;28.33454704284668;26.649999618530273;18.892919540405273;23.25418472290039
2013-03-18;14.057028770446777;28.283456802368164;26.489999771118164;18.412385940551758;23.303945541381836
2013-03-19;14.019088745117188;28.69940185546875;26.549999237060547;17.931859970092773;23.370296478271484
2013-03-20;13.944747924804688;29.093435287475586;25.860000610351562;18.212160110473633;23.486400604248047
2013-03-21;13.964800834655762;29.239377975463867;25.739999771118164;17.667564392089844;23.31224250793457
2013-03-22;14.247964859008789;29.217491149902344;25.729999542236328;17.7636661529541;23.42833709716797
2013-03-25;14.299478530883789;29.27585792541504;25.1299991607666;17.59548568725586;23.35370635986328
2013-03-26;14.224211692810059;29.69179916381836;25.209999084472656;17.795700073242188;23.35370635986328
2013-03-27;13.944747924804688;29.348834991455078;26.09000015258789;17.851774215698242;23.527862548828125
2013-03-28;13.654184341430664;29.509374618530273;25.579999923706055;17.603492736816406;23.72690200805664
2013-04-01;13.230051040649414;29.51666831970215;25.530000686645508;17.347209930419922;23.72690200805664
2013-04-02;13.257195472717285;29.713685989379883;25.420000076293945;17.37925148010254;23.884469985961914
2013-04-03;13.325057983398438;29.312339782714844;26.25;16.906723022460938;23.68543243408203
2013-04-04;13.19334602355957;29.582340240478516;27.06999969482422;17.082918167114258;23.71860694885254
2013-04-05;13.053922653198242;29.246686935424805;27.389999389648438;17.267120361328125;23.801544189453125
2013-04-08;13.146770477294922;29.815855026245117;26.850000381469727;17.411277770996094;23.71031951904297
2013-04-09;13.17051887512207;29.70639419555664;26.59000015258789;17.411277770996094;24.556224822998047
2013-04-10;13.439187049865723;29.969091415405273;27.56999969482422;17.795700073242188;25.11186408996582
2013-04-11;13.397237777709961;30.04935646057129;28.020000457763672;17.835752487182617;24.000581741333008
2013-04-12;13.257506370544434;29.976396560668945;27.399999618530273;17.47535514831543;23.87617301940918
2013-04-15;12.950590133666992;29.25398063659668;26.520000457763672;17.203044891357422;23.79324722290039
2013-04-16;13.147696495056152;30.917707443237305;26.920000076293945;17.499374389648438;24.02545166015625
2013-04-17;12.424668312072754;31.04904556274414;26.6299991607666;17.19504165649414;23.909351348876953
2013-04-18;12.093076705932617;30.720693588256836;25.690000534057617;16.266014099121094;23.87617301940918
2013-04-19;12.046194076538086;31.12932586669922;25.729999542236328;16.48224639892578;24.688913345336914
2013-04-22;12.297276496887207;31.1731014251709;25.969999313354492;16.586366653442383;25.567996978759766
2013-04-23;12.527388572692871;31.158506393432617;25.979999542236328;17.307167053222656;25.377254486083984
2013-04-24;12.506721496582031;30.75717544555664;26.110000610351562;17.17902946472168;26.339258193969727
2013-04-25;12.59678840637207;30.903106689453125;26.139999389648438;17.16299819946289;26.488540649414062
2013-04-26;12.868847846984863;30.720693588256836;26.850000381469727;17.179058074951172;26.36414909362793
2013-04-29;13.267374992370605;30.822845458984375;26.979999542236328;17.82929229736328;27.044185638427734
2013-04-30;13.657880783081055;30.888530731201172;27.770000457763672;17.781131744384766;27.45055389404297
2013-05-01;13.55023193359375;30.80095863342285;27.43000030517578;17.54029655456543;27.135419845581055
2013-05-02;13.742402076721191;30.618532180786133;28.969999313354492;17.893522262573242;27.500316619873047
